person, block, runNumber, visualise, trialNumber, targetPresent, responseTime, response
7, coloured, 1, yes, 1, 1, NaN, NaN
7, coloured, 1, yes, 2, 1, NaN, NaN
7, coloured, 1, yes, 3, 0, 0.499253, -1
7, coloured, 1, yes, 4, 0, 0.449951, -1
7, coloured, 1, yes, 5, 0, 0.419626, -1
7, coloured, 2, no, 1, 1, 0.467119, 1
7, coloured, 2, no, 2, 0, 0.421679, -1
7, coloured, 2, no, 3, 1, 0.376526, 1
7, coloured, 2, no, 4, 0, 0.541772, -1
7, coloured, 2, no, 5, 0, 0.344533, -1
7, coloured, 3, no, 1, 0, 0.370823, -1
7, coloured, 3, no, 2, 1, 0.561712, 1
7, coloured, 3, no, 3, 1, 0.383450, 1
7, coloured, 3, no, 4, 0, 0.349478, -1
7, coloured, 3, no, 5, 0, 0.345312, -1
7, coloured, 4, yes, 1, 1, NaN, NaN
7, coloured, 4, yes, 2, 1, NaN, NaN
7, coloured, 4, yes, 3, 1, 0.434676, 1
7, coloured, 4, yes, 4, 1, 0.386452, 1
7, coloured, 5, no, 1, 0, 0.458912, -1
7, coloured, 5, no, 2, 0, 0.696154, -1
7, coloured, 5, no, 3, 1, 0.380499, 1
7, coloured, 6, yes, 1, 0, NaN, NaN
7, coloured, 6, yes, 2, 0, NaN, NaN
7, coloured, 6, yes, 3, 1, 0.475750, 1
7, coloured, 6, yes, 4, 0, 0.340212, -1
7, coloured, 7, no, 1, 1, 0.439294, 1
7, coloured, 7, no, 2, 0, 0.343491, -1
7, coloured, 7, no, 3, 1, 0.420067, 1
7, coloured, 8, yes, 1, 1, NaN, NaN
7, coloured, 8, yes, 2, 0, NaN, NaN
7, coloured, 8, yes, 3, 0, 0.431106, -1
7, coloured, 8, yes, 4, 0, 0.463367, -1
7, coloured, 9, yes, 1, 1, NaN, NaN
7, coloured, 9, yes, 2, 1, NaN, NaN
7, coloured, 9, yes, 3, 1, 0.420383, 1
7, coloured, 9, yes, 4, 1, 0.348519, 1
7, coloured, 10, yes, 1, 0, NaN, NaN
7, coloured, 10, yes, 2, 0, NaN, NaN
7, coloured, 10, yes, 3, 1, 0.428023, 1
7, coloured, 11, no, 1, 0, 0.355047, -1
7, coloured, 11, no, 2, 0, 0.316736, -1
7, coloured, 11, no, 3, 0, 0.442244, 1
7, coloured, 11, no, 4, 0, 0.390386, -1
7, coloured, 12, no, 1, 0, 0.513861, -1
7, coloured, 12, no, 2, 1, 0.395324, -1
7, coloured, 12, no, 3, 0, 0.434182, -1
7, coloured, 12, no, 4, 0, 0.455643, -1
7, coloured, 13, no, 1, 0, 0.454928, -1
7, coloured, 13, no, 2, 0, 1.097614, -1
7, coloured, 13, no, 3, 0, 0.372499, -1
7, coloured, 14, yes, 1, 1, NaN, NaN
7, coloured, 14, yes, 2, 0, NaN, NaN
7, coloured, 14, yes, 3, 1, 0.418512, 1
7, coloured, 15, no, 1, 1, 0.607061, 1
7, coloured, 15, no, 2, 0, 0.331666, -1
7, coloured, 15, no, 3, 1, 0.451801, 1
7, coloured, 16, no, 1, 1, 0.441950, 1
7, coloured, 16, no, 2, 1, 0.316394, 1
7, coloured, 16, no, 3, 1, 0.326300, 1
7, coloured, 16, no, 4, 1, 0.296368, 1
7, coloured, 17, no, 1, 1, 0.883872, 1
7, coloured, 17, no, 2, 0, 0.453696, -1
7, coloured, 17, no, 3, 0, 0.609041, -1
7, coloured, 17, no, 4, 1, 0.375989, 1
7, coloured, 18, yes, 1, 0, NaN, NaN
7, coloured, 18, yes, 2, 0, NaN, NaN
7, coloured, 18, yes, 3, 0, 0.475391, -1
7, coloured, 19, no, 1, 0, 0.412438, 1
7, coloured, 19, no, 2, 0, 0.516840, -1
7, coloured, 19, no, 3, 1, 0.836537, 1
7, coloured, 19, no, 4, 1, 0.451254, 1
7, coloured, 20, yes, 1, 0, NaN, NaN
7, coloured, 20, yes, 2, 1, NaN, NaN
7, coloured, 20, yes, 3, 1, 0.362804, 1
7, coloured, 20, yes, 4, 0, 0.705202, -1
7, coloured, 21, yes, 1, 0, NaN, NaN
7, coloured, 21, yes, 2, 0, NaN, NaN
7, coloured, 21, yes, 3, 1, 0.395507, 1
7, coloured, 21, yes, 4, 1, 0.253833, 1
7, coloured, 21, yes, 5, 1, 0.318749, 1
7, coloured, 22, yes, 1, 1, NaN, NaN
7, coloured, 22, yes, 2, 1, NaN, NaN
7, coloured, 22, yes, 3, 0, 0.441547, -1
7, coloured, 22, yes, 4, 0, 0.372217, -1
7, coloured, 22, yes, 5, 1, 0.505280, 1
7, coloured, 23, yes, 1, 0, NaN, NaN
7, coloured, 23, yes, 2, 1, NaN, NaN
7, coloured, 23, yes, 3, 0, 0.527415, -1
7, coloured, 23, yes, 4, 0, 0.584778, -1
7, coloured, 23, yes, 5, 1, 0.399983, 1
7, coloured, 24, yes, 1, 0, NaN, NaN
7, coloured, 24, yes, 2, 1, NaN, NaN
7, coloured, 24, yes, 3, 0, 0.353410, -1
7, coloured, 24, yes, 4, 1, 0.303008, 1
7, coloured, 25, no, 1, 0, 0.493563, -1
7, coloured, 25, no, 2, 1, 0.423504, 1
7, coloured, 25, no, 3, 1, 0.349837, 1
7, coloured, 26, no, 1, 0, 0.427907, -1
7, coloured, 26, no, 2, 0, 0.468792, -1
7, coloured, 26, no, 3, 1, 0.285560, 1
7, coloured, 26, no, 4, 0, 0.416895, -1
7, coloured, 27, no, 1, 0, 0.399396, -1
7, coloured, 27, no, 2, 0, 0.506314, -1
7, coloured, 27, no, 3, 1, 0.620578, 1
7, coloured, 27, no, 4, 0, 0.469408, 1
7, coloured, 27, no, 5, 0, 0.844035, -1
7, coloured, 28, no, 1, 0, 0.630632, -1
7, coloured, 28, no, 2, 1, 0.424446, 1
7, coloured, 28, no, 3, 0, 0.406650, -1
7, coloured, 28, no, 4, 1, 0.379540, 1
7, coloured, 28, no, 5, 0, 0.372596, -1
7, coloured, 29, no, 1, 0, 0.469505, -1
7, coloured, 29, no, 2, 0, 0.505296, -1
7, coloured, 29, no, 3, 0, 0.411250, -1
7, coloured, 29, no, 4, 1, 0.464148, -1
7, coloured, 30, yes, 1, 0, NaN, NaN
7, coloured, 30, yes, 2, 1, NaN, NaN
7, coloured, 30, yes, 3, 1, 0.394963, 1
7, coloured, 31, yes, 1, 1, NaN, NaN
7, coloured, 31, yes, 2, 0, NaN, NaN
7, coloured, 31, yes, 3, 0, 0.394057, -1
7, coloured, 32, yes, 1, 0, NaN, NaN
7, coloured, 32, yes, 2, 0, NaN, NaN
7, coloured, 32, yes, 3, 1, 0.469615, 1
7, coloured, 32, yes, 4, 0, 0.375503, -1
7, coloured, 33, no, 1, 0, 0.593218, -1
7, coloured, 33, no, 2, 1, 0.454464, 1
7, coloured, 33, no, 3, 1, 0.304553, 1
7, coloured, 34, no, 1, 0, 0.791118, -1
7, coloured, 34, no, 2, 0, 0.651168, -1
7, coloured, 34, no, 3, 0, 0.717113, -1
7, coloured, 34, no, 4, 1, 0.521753, 1
7, coloured, 35, no, 1, 0, 0.450325, -1
7, coloured, 35, no, 2, 1, 0.308311, 1
7, coloured, 35, no, 3, 0, 0.628639, -1
7, coloured, 36, yes, 1, 0, NaN, NaN
7, coloured, 36, yes, 2, 1, NaN, NaN
7, coloured, 36, yes, 3, 1, 0.413541, 1
7, coloured, 36, yes, 4, 1, 0.288214, 1
7, coloured, 36, yes, 5, 0, 0.337067, -1
7, coloured, 37, no, 1, 1, 0.741950, 1
7, coloured, 37, no, 2, 1, 0.300140, 1
7, coloured, 37, no, 3, 0, 0.367160, -1
7, coloured, 37, no, 4, 1, 0.326890, 1
7, coloured, 37, no, 5, 0, 0.475936, -1
7, coloured, 38, yes, 1, 0, NaN, NaN
7, coloured, 38, yes, 2, 1, NaN, NaN
7, coloured, 38, yes, 3, 1, 0.297432, 1
7, coloured, 38, yes, 4, 0, 0.427029, -1
7, coloured, 39, yes, 1, 1, NaN, NaN
7, coloured, 39, yes, 2, 0, NaN, NaN
7, coloured, 39, yes, 3, 0, 0.449027, -1
7, coloured, 40, yes, 1, 1, NaN, NaN
7, coloured, 40, yes, 2, 0, NaN, NaN
