person, block, runNumber, visualise, trialNumber, targetPresent, responseTime, response
5, coloured, 30, no, 2, 0, 0.493929, -1
5, coloured, 30, no, 3, 1, 0.389900, 1
5, coloured, 30, no, 4, 0, 0.375803, -1
5, coloured, 30, no, 5, 1, 0.427331, 1
5, coloured, 31, yes, 1, 0, NaN, NaN
5, coloured, 31, yes, 2, 0, NaN, NaN
5, coloured, 31, yes, 3, 0, 0.827247, -1
5, coloured, 31, yes, 4, 0, 0.404990, -1
5, coloured, 31, yes, 5, 1, 0.626473, 1
5, coloured, 32, no, 1, 1, 0.447906, 1
5, coloured, 32, no, 2, 1, 0.415760, 1
5, coloured, 32, no, 3, 1, 0.407182, 1
5, coloured, 33, yes, 1, 1, NaN, NaN
5, coloured, 33, yes, 2, 0, NaN, NaN
5, coloured, 33, yes, 3, 1, 0.513935, 1
5, coloured, 33, yes, 4, 0, 0.502801, -1
5, coloured, 34, no, 1, 0, 0.384305, -1
5, coloured, 34, no, 2, 1, 0.375646, 1
5, coloured, 34, no, 3, 1, 0.741984, -1
5, coloured, 34, no, 4, 1, 0.494261, 1
5, coloured, 34, no, 5, 1, 0.355736, 1
5, coloured, 35, no, 1, 1, 0.454916, 1
5, coloured, 35, no, 2, 1, 0.286961, 1
5, coloured, 35, no, 3, 1, 0.333987, 1
5, coloured, 36, yes, 1, 1, NaN, NaN
5, coloured, 36, yes, 2, 0, NaN, NaN
5, coloured, 36, yes, 3, 1, 0.484043, 1
5, coloured, 37, no, 1, 0, 0.516469, -1
5, coloured, 37, no, 2, 0, 1.346655, -1
5, coloured, 37, no, 3, 1, 0.395034, 1
5, coloured, 37, no, 4, 1, 0.750758, 1
5, coloured, 38, yes, 1, 1, NaN, NaN
5, coloured, 38, yes, 2, 1, NaN, NaN
5, coloured, 38, yes, 3, 0, 0.390892, -1
5, coloured, 38, yes, 4, 0, 1.052309, 1
5, coloured, 38, yes, 5, 0, 0.766824, -1
5, coloured, 39, yes, 1, 0, NaN, NaN
5, coloured, 39, yes, 2, 0, NaN, NaN
5, coloured, 39, yes, 3, 0, 0.526346, -1
5, coloured, 39, yes, 4, 0, 0.397220, -1
5, coloured, 39, yes, 5, 1, 0.700934, -1
5, coloured, 40, yes, 1, 0, NaN, NaN
5, coloured, 40, yes, 2, 0, NaN, NaN
5, coloured, 40, yes, 3, 0, 0.589994, -1
5, uncoloured, 1, no, 1, 1, 2.509742, -1
5, uncoloured, 1, no, 2, 1, 2.048122, 1
5, uncoloured, 1, no, 3, 1, 1.059435, 1
5, uncoloured, 1, no, 4, 1, 2.347892, 1
5, uncoloured, 1, no, 5, 1, 2.581632, 1
5, uncoloured, 2, no, 1, 0, 2.417830, -1
5, uncoloured, 2, no, 2, 1, 2.341789, 1
5, uncoloured, 2, no, 3, 0, 2.742809, -1
5, uncoloured, 2, no, 4, 1, 0.490462, 1
5, uncoloured, 2, no, 5, 0, 2.699004, -1
5, uncoloured, 3, no, 1, 0, 2.653078, -1
5, uncoloured, 3, no, 2, 1, 2.553699, -1
5, uncoloured, 3, no, 3, 0, 2.880386, -1
5, uncoloured, 4, yes, 1, 1, NaN, NaN
5, uncoloured, 4, yes, 2, 1, NaN, NaN
5, uncoloured, 4, yes, 3, 0, 1.742324, -1
5, uncoloured, 4, yes, 4, 0, 2.939773, -1
5, uncoloured, 5, no, 1, 1, 2.804919, -1
5, uncoloured, 5, no, 2, 1, 1.206437, 1
5, uncoloured, 5, no, 3, 1, 2.058225, -1
5, uncoloured, 5, no, 4, 1, 2.872385, 1
5, uncoloured, 5, no, 5, 1, 1.166226, 1
5, uncoloured, 6, no, 1, 0, 2.726908, -1
5, uncoloured, 6, no, 2, 0, 2.038394, -1
5, uncoloured, 6, no, 3, 1, 0.557922, 1
5, uncoloured, 6, no, 4, 1, 1.231266, 1
5, uncoloured, 7, no, 1, 0, 3.055056, -1
5, uncoloured, 7, no, 2, 1, 2.636728, -1
5, uncoloured, 7, no, 3, 1, 1.223722, 1
5, uncoloured, 7, no, 4, 0, 2.091306, -1
5, uncoloured, 7, no, 5, 0, 2.441991, -1
5, uncoloured, 8, yes, 1, 0, NaN, NaN
5, uncoloured, 8, yes, 2, 0, NaN, NaN
5, uncoloured, 8, yes, 3, 0, 2.967670, -1
5, uncoloured, 8, yes, 4, 0, 2.658456, -1
5, uncoloured, 9, yes, 1, 1, NaN, NaN
5, uncoloured, 9, yes, 2, 0, NaN, NaN
5, uncoloured, 9, yes, 3, 0, 2.579173, -1
5, uncoloured, 10, yes, 1, 1, NaN, NaN
5, uncoloured, 10, yes, 2, 1, NaN, NaN
5, uncoloured, 10, yes, 3, 1, 2.748569, -1
5, uncoloured, 11, no, 1, 1, 1.224843, 1
5, uncoloured, 11, no, 2, 1, 2.068235, 1
5, uncoloured, 11, no, 3, 0, 1.994841, -1
5, uncoloured, 12, no, 1, 0, 2.430302, -1
5, uncoloured, 12, no, 2, 0, 2.914455, -1
5, uncoloured, 12, no, 3, 1, 2.099984, 1
5, uncoloured, 12, no, 4, 1, 3.120928, -1
5, uncoloured, 12, no, 5, 0, 3.154555, -1
5, uncoloured, 13, no, 1, 1, 2.951037, -1
5, uncoloured, 13, no, 2, 0, 2.501606, -1
5, uncoloured, 13, no, 3, 1, 2.630800, 1
5, uncoloured, 13, no, 4, 1, 1.692514, -1
5, uncoloured, 14, yes, 1, 1, NaN, NaN
5, uncoloured, 14, yes, 2, 0, NaN, NaN
5, uncoloured, 14, yes, 3, 1, 2.138689, 1
5, uncoloured, 14, yes, 4, 1, 2.915796, -1
5, uncoloured, 15, yes, 1, 0, NaN, NaN
5, uncoloured, 15, yes, 2, 0, NaN, NaN
