person, block, runNumber, visualise, trialNumber, targetPresent, responseTime, response
11, coloured, 1, yes, 1, 1, NaN, NaN
11, coloured, 1, yes, 2, 1, NaN, NaN
11, coloured, 1, yes, 3, 1, 0.400730, 1
11, coloured, 1, yes, 4, 1, 0.421854, 1
11, coloured, 1, yes, 5, 0, 0.448177, -1
11, coloured, 2, yes, 1, 1, NaN, NaN
11, coloured, 2, yes, 2, 0, NaN, NaN
11, coloured, 2, yes, 3, 0, 0.501411, -1
11, coloured, 3, no, 1, 0, 0.558362, -1
11, coloured, 3, no, 2, 1, 0.420743, 1
11, coloured, 3, no, 3, 1, 0.415730, 1
11, coloured, 4, yes, 1, 0, NaN, NaN
11, coloured, 4, yes, 2, 0, NaN, NaN
11, coloured, 4, yes, 3, 0, 0.399985, -1
11, coloured, 4, yes, 4, 0, 0.390580, -1
11, coloured, 5, no, 1, 1, 0.474104, 1
11, coloured, 5, no, 2, 0, 0.425243, -1
11, coloured, 5, no, 3, 0, 0.406672, -1
11, coloured, 6, yes, 1, 1, NaN, NaN
11, coloured, 6, yes, 2, 0, NaN, NaN
11, coloured, 6, yes, 3, 0, 0.419765, -1
11, coloured, 6, yes, 4, 0, 0.416512, -1
11, coloured, 6, yes, 5, 0, 0.420259, -1
11, coloured, 7, no, 1, 0, 0.420558, -1
11, coloured, 7, no, 2, 0, 0.406798, -1
11, coloured, 7, no, 3, 0, 0.386697, -1
11, coloured, 7, no, 4, 1, 0.355982, -1
11, coloured, 7, no, 5, 0, 0.661357, -1
11, coloured, 8, yes, 1, 0, NaN, NaN
11, coloured, 8, yes, 2, 0, NaN, NaN
11, coloured, 8, yes, 3, 0, 0.495726, -1
11, coloured, 8, yes, 4, 1, 0.491101, 1
11, coloured, 8, yes, 5, 0, 0.485447, -1
11, coloured, 9, no, 1, 0, 0.531663, -1
11, coloured, 9, no, 2, 1, 0.385759, 1
11, coloured, 9, no, 3, 1, 0.383765, 1
11, coloured, 9, no, 4, 0, 0.459051, -1
11, coloured, 10, yes, 1, 1, NaN, NaN
11, coloured, 10, yes, 2, 1, NaN, NaN
11, coloured, 10, yes, 3, 1, 0.426590, 1
11, coloured, 10, yes, 4, 1, 0.392673, 1
11, coloured, 11, yes, 1, 1, NaN, NaN
11, coloured, 11, yes, 2, 1, NaN, NaN
11, coloured, 11, yes, 3, 1, 0.394136, 1
11, coloured, 11, yes, 4, 0, 0.530387, -1
11, coloured, 11, yes, 5, 1, 0.427593, 1
11, coloured, 12, no, 1, 0, 0.451480, -1
11, coloured, 12, no, 2, 0, 0.621662, -1
11, coloured, 12, no, 3, 0, 0.602038, -1
11, coloured, 13, no, 1, 0, 0.473160, -1
11, coloured, 13, no, 2, 0, 0.493602, -1
11, coloured, 13, no, 3, 1, 0.475884, 1
11, coloured, 13, no, 4, 0, 0.422579, -1
11, coloured, 13, no, 5, 1, 0.780706, 1
11, coloured, 14, no, 1, 1, 0.374841, 1
11, coloured, 14, no, 2, 1, 0.398512, 1
11, coloured, 14, no, 3, 0, 0.466265, -1
11, coloured, 14, no, 4, 0, 0.426797, -1
11, coloured, 14, no, 5, 0, 0.379169, -1
11, coloured, 15, no, 1, 0, 0.422077, -1
11, coloured, 15, no, 2, 0, 0.578706, -1
11, coloured, 15, no, 3, 0, 0.426018, -1
11, coloured, 15, no, 4, 0, 0.765427, -1
11, coloured, 16, no, 1, 0, 0.474189, -1
11, coloured, 16, no, 2, 1, 0.489071, 1
11, coloured, 16, no, 3, 0, 0.359392, -1
11, coloured, 17, yes, 1, 0, NaN, NaN
11, coloured, 17, yes, 2, 1, NaN, NaN
11, coloured, 17, yes, 3, 0, 0.398854, -1
11, coloured, 17, yes, 4, 0, 0.431754, -1
11, coloured, 18, no, 1, 0, 0.481390, -1
11, coloured, 18, no, 2, 0, 0.388005, -1
11, coloured, 18, no, 3, 0, 0.400842, -1
11, coloured, 19, no, 1, 1, 0.538465, 1
11, coloured, 19, no, 2, 1, 0.400564, 1
11, coloured, 19, no, 3, 0, 0.408513, -1
11, coloured, 19, no, 4, 1, 0.435002, 1
11, coloured, 20, no, 1, 1, 0.558963, 1
11, coloured, 20, no, 2, 1, 0.412198, 1
11, coloured, 20, no, 3, 1, 0.374607, 1
11, coloured, 20, no, 4, 0, 0.407817, -1
11, coloured, 21, no, 1, 0, 0.396438, -1
11, coloured, 21, no, 2, 0, 0.373432, -1
11, coloured, 21, no, 3, 0, 0.381416, -1
11, coloured, 22, yes, 1, 0, NaN, NaN
11, coloured, 22, yes, 2, 0, NaN, NaN
11, coloured, 22, yes, 3, 0, 0.503001, -1
11, coloured, 23, yes, 1, 1, NaN, NaN
11, coloured, 23, yes, 2, 0, NaN, NaN
11, coloured, 23, yes, 3, 0, 0.379994, -1
11, coloured, 23, yes, 4, 1, 0.422175, 1
11, coloured, 23, yes, 5, 1, 0.340741, 1
11, coloured, 24, yes, 1, 1, NaN, NaN
11, coloured, 24, yes, 2, 1, NaN, NaN
