person, block, runNumber, visualise, trialNumber, targetPresent, responseTime, response
4, coloured, 1, yes, 1, 1, NaN, NaN
4, coloured, 1, yes, 2, 1, NaN, NaN
4, coloured, 1, yes, 3, 0, 0.678295, 1
4, coloured, 2, yes, 1, 1, NaN, NaN
4, coloured, 2, yes, 2, 1, NaN, NaN
4, coloured, 2, yes, 3, 1, 0.647609, 1
4, coloured, 3, yes, 1, 0, NaN, NaN
4, coloured, 3, yes, 2, 0, NaN, NaN
4, coloured, 3, yes, 3, 0, 0.431206, -1
4, coloured, 3, yes, 4, 0, 0.464552, -1
4, coloured, 4, yes, 1, 1, NaN, NaN
4, coloured, 4, yes, 2, 1, NaN, NaN
4, coloured, 4, yes, 3, 1, 0.565732, 1
4, coloured, 4, yes, 4, 0, 0.437559, -1
4, coloured, 4, yes, 5, 0, 0.490165, -1
4, coloured, 5, no, 1, 1, 0.413138, 1
4, coloured, 5, no, 2, 1, 0.642628, 1
4, coloured, 5, no, 3, 0, 0.512072, -1
4, coloured, 5, no, 4, 1, 0.431225, 1
4, coloured, 6, yes, 1, 1, NaN, NaN
4, coloured, 6, yes, 2, 0, NaN, NaN
4, coloured, 6, yes, 3, 1, 0.520821, 1
4, coloured, 7, no, 1, 0, 0.402507, -1
4, coloured, 7, no, 2, 1, 0.461619, 1
4, coloured, 7, no, 3, 0, 0.359324, -1
4, coloured, 7, no, 4, 1, 0.411999, 1
4, coloured, 7, no, 5, 1, 0.387693, 1
4, coloured, 8, yes, 1, 0, NaN, NaN
4, coloured, 8, yes, 2, 0, NaN, NaN
4, coloured, 8, yes, 3, 0, 0.443369, -1
4, coloured, 8, yes, 4, 1, 0.532418, 1
4, coloured, 9, no, 1, 0, 0.535739, -1
4, coloured, 9, no, 2, 0, 0.554817, -1
4, coloured, 9, no, 3, 0, 0.426734, -1
4, coloured, 10, yes, 1, 0, NaN, NaN
4, coloured, 10, yes, 2, 0, NaN, NaN
4, coloured, 10, yes, 3, 1, 0.620633, 1
4, coloured, 11, no, 1, 0, 0.473994, -1
4, coloured, 11, no, 2, 1, 0.458348, 1
4, coloured, 11, no, 3, 0, 0.410342, -1
4, coloured, 11, no, 4, 1, 0.435292, 1
4, coloured, 11, no, 5, 1, 0.400571, 1
4, coloured, 12, no, 1, 0, 0.653505, -1
4, coloured, 12, no, 2, 0, 0.529573, -1
4, coloured, 12, no, 3, 0, 0.420893, -1
