person,block,visualise,trialNumber,nTrials,responseTimeMean,responseTimeMedian,stddev,stderr,lower,upper
26, coloured,no,5,27, 492.4729,481.7450,0.1992159,0.03833911,7.008470e+213,8.145037e+213
26, coloured,yes,3,59, 450.8880,440.2440,0.1531224,0.01993483,6.327268e+195,6.841541e+195
26, coloured,yes,4,43, 450.3460,444.6030,0.1881821,0.02869751,3.617138e+195,4.047815e+195
26, coloured,yes,5,26, 498.6764,482.5710,0.1973939,0.03871212,3.463111e+216,4.030614e+216
27, coloured,no,1,59, 730.7258,664.9410,0.3074788,0.04003034,          Inf,          Inf
27, coloured,no,2,59, 698.0850,662.0880,0.3096776,0.04031659,1.380893e+303,1.617321e+303
27, coloured,no,3,60, 725.8206,696.1315,0.2979611,0.03846661,          Inf,          Inf
27, coloured,no,4,39, 617.1681,569.9090,0.2617850,0.04191915,9.931341e+267,1.170503e+268
27, coloured,no,5,27, 639.0744,614.7690,0.2067494,0.03978895,3.255394e+277,3.804886e+277
27, coloured,yes,3,58, 787.3017,704.8885,0.3113232,0.04087874,          Inf,          Inf
27, coloured,yes,4,44, 647.3476,619.3535,0.2592172,0.03907846,1.277151e+281,1.488575e+281
27, coloured,yes,5,26, 670.0218,647.2165,0.3404784,0.06677331,8.510439e+290,1.105679e+291
28, coloured,no,1,57, 481.9309,474.5940,0.1616842,0.02141559,1.912896e+209,2.080415e+209
28, coloured,no,2,58, 483.4676,437.5485,0.2516058,0.03303746,8.693263e+209,9.895253e+209
28, coloured,no,3,57, 449.0620,433.7350,0.2165888,0.02868789,1.001645e+195,1.120864e+195
28, coloured,no,4,40, 454.9002,455.6830,0.2020935,0.03195379,3.415529e+197,3.871303e+197
28, coloured,no,5,26, 464.9882,448.6995,0.1758166,0.03448048,8.174711e+201,9.357787e+201
28, coloured,yes,3,60, 456.3524,435.1885,0.1939984,0.02504508,1.479217e+198,1.631810e+198
28, coloured,yes,4,45, 435.0609,417.3470,0.2353508,0.03508402,8.216538e+188,9.427946e+188
28, coloured,yes,5,25, 467.8707,473.7800,0.1980553,0.03961106,1.445288e+203,1.688067e+203
29, coloured,no,1,55, 508.4564,492.8270,0.2712592,0.03657658,6.147379e+220,7.095111e+220
29, coloured,no,2,57, 492.7370,479.1780,0.2278860,0.03018424,9.274156e+213,1.043905e+214
29, coloured,no,3,58, 499.6278,497.8155,0.2356701,0.03094500,9.104270e+216,1.027843e+217
29, coloured,no,4,39, 494.3377,472.4910,0.2449328,0.03922063,4.516156e+214,5.266711e+214
29, coloured,no,5,26, 479.3867,441.8670,0.2007923,0.03937861,1.450359e+208,1.692446e+208
29, coloured,yes,3,55, 542.1652,469.2480,0.3080934,0.04154330,2.654655e+235,3.124157e+235
